Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,A1 - ,A2 - ,A3 - ,A4 - ,,Filename,Project,UserID,Protocol,Session,Station,Run,Subject,Trial,Time Start,Time Finish,Duration,Enter State,A1,A2,A3
M,LF-LD,5,47,0,2,LF152_,1581,8,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,2005,2054,49,8,0,0,1
M,LF-LD,5,47,0,2,LF152_,1587,8,3,2,0,1,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,7,2054,2099,45,2,0,1,0
M,LF-LD,5,47,0,2,LF152_,1594,3,5,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,7,2099,2106,7,3,0,0,0
M,LF-LD,5,47,0,2,LF152_,1597,5,4,0,0,0,1,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,7,2106,2109,3,5,0,0,0
M,LF-LD,5,47,0,2,LF152_,1602,4,8,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,7,2109,2114,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,1622,8,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,7,2114,2115,1,8,0,0,1
M,LF-LD,5,47,0,2,LF152_,1627,8,3,2,0,1,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,8,2115,2145,30,2,0,1,0
M,LF-LD,5,47,0,2,LF152_,1634,3,5,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,8,2145,2152,7,3,0,0,1
M,LF-LD,5,47,0,2,LF152_,1637,5,4,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,8,2152,2155,3,5,0,0,0
M,LF-LD,5,47,0,2,LF152_,1638,4,0,0,0,0,1,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,8,2155,2160,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,1642,4,8,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,8,2160,2187,27,8,0,1,0
M,LF-LD,5,47,0,2,LF152_,1656,8,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,8,2187,2194,7,3,0,0,1
M,LF-LD,5,47,0,2,LF152_,1674,8,3,2,0,1,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,8,2194,2197,3,5,0,0,0
M,LF-LD,5,47,0,2,LF152_,1681,3,5,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,8,2197,2202,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,1684,5,4,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,8,2202,2236,34,8,0,1,0
M,LF-LD,5,47,0,2,LF152_,1685,4,0,0,0,0,1,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,8,2236,2243,7,3,0,0,1
M,LF-LD,5,47,0,2,LF152_,1689,4,8,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,8,2243,2246,3,5,0,0,0
M,LF-LD,5,47,0,2,LF152_,1711,8,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,8,2246,2251,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,1715,8,3,2,0,1,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,8,2251,2274,23,8,0,1,0
M,LF-LD,5,47,0,2,LF152_,1722,3,5,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,8,2274,2281,7,3,0,0,0
M,LF-LD,5,47,0,2,LF152_,1725,5,4,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,8,2281,2284,3,5,0,0,1
M,LF-LD,5,47,0,2,LF152_,1727,4,0,0,0,0,1,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,8,2284,2289,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,1730,4,8,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,8,2289,2352,63,8,0,1,0
M,LF-LD,5,47,0,2,LF152_,1746,8,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,8,2352,2359,7,3,0,0,0
M,LF-LD,5,47,0,2,LF152_,1753,8,3,2,0,1,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,8,2359,2362,3,5,0,0,1
M,LF-LD,5,47,0,2,LF152_,1760,3,5,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,8,2362,2367,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,1762,5,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,8,2367,2395,28,8,0,1,0
M,LF-LD,5,47,0,2,LF152_,1763,5,4,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,8,2395,2402,7,3,0,0,1
