Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,A1 - ,A2 - ,A3 - ,A4 - ,,,Filename,Project,UserID,Protocol,Session,Station,Run,Subject,Trial,Time Start,Time Finish,Duration,Enter State,A1,A2,A3,
M,LF,5,43,2,1,LF152_,1847,8,0,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,4,2670,2703,33,8,3,0,1,
M,LF,5,43,2,1,LF152_,1977,8,3,2,0,1,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,5,2703,2825,122,2,0,1,0,
M,LF,5,43,2,1,LF152_,1978,3,0,0,0,1,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,5,2825,2832,7,3,0,0,0,
M,LF,5,43,2,1,LF152_,1984,3,5,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,5,2832,2835,3,5,0,0,0,
M,LF,5,43,2,1,LF152_,1987,5,4,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,5,2835,2840,5,4,0,0,0,
M,LF,5,43,2,1,LF152_,1992,4,8,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,5,2840,2846,6,8,0,0,1,
M,LF,5,43,2,1,LF152_,1995,8,0,0,1,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,6,2846,2875,29,2,0,1,0,
M,LF,5,43,2,1,LF152_,2002,8,0,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,6,2875,2882,7,3,0,0,0,
M,LF,5,43,2,1,LF152_,2117,8,3,2,0,1,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,6,2882,2885,3,5,0,0,1,
M,LF,5,43,2,1,LF152_,2124,3,5,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,6,2885,2890,5,4,0,0,0,
M,LF,5,43,2,1,LF152_,2126,5,0,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,6,2890,2915,25,8,0,1,0,
M,LF,5,43,2,1,LF152_,2127,5,4,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,6,2915,2922,7,3,0,0,0,
M,LF,5,43,2,1,LF152_,2132,4,8,0,0,0,1,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,6,2922,2925,3,5,0,0,0,
M,LF,5,43,2,1,LF152_,2177,8,0,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,6,2925,2930,5,4,0,0,0,
M,LF,5,43,2,1,LF152_,2202,8,2,3,0,0,1,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,6,2930,2933,3,8,0,0,1,
M,LF,5,43,2,1,LF152_,2212,2,0,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,7,2933,2962,29,2,0,1,0,
M,LF,5,43,2,1,LF152_,2392,2,0,0,0,0,1,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,7,2962,2969,7,3,0,0,0,
M,LF,5,43,2,1,LF152_,2395,2,0,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,7,2969,2972,3,5,0,0,1,
M,LF,5,43,2,1,LF152_,2412,2,3,2,0,1,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,7,2972,2977,5,4,0,0,0,
M,LF,5,43,2,1,LF152_,2419,3,5,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,7,2977,3009,32,8,0,1,0,
M,LF,5,43,2,1,LF152_,2422,5,4,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,7,3009,3016,7,3,0,0,0,
M,LF,5,43,2,1,LF152_,2424,4,0,0,0,0,1,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,7,3016,3019,3,5,0,0,0,
M,LF,5,43,2,1,LF152_,2427,4,8,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,7,3019,3024,5,4,0,0,0,
M,LF,5,43,2,1,LF152_,2448,8,0,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,7,3024,3052,28,8,0,0,1,
M,LF,5,43,2,1,LF152_,2474,8,3,2,0,1,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,8,3052,3084,32,2,0,1,0,
M,LF,5,43,2,1,LF152_,2481,3,5,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,8,3084,3091,7,3,0,0,0,
M,LF,5,43,2,1,LF152_,2484,5,4,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,8,3091,3094,3,5,0,0,0,
M,LF,5,43,2,1,LF152_,2487,4,0,0,0,0,1,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,8,3094,3099,5,4,0,0,1,
M,LF,5,43,2,1,LF152_,2489,4,8,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,8,3099,3125,26,8,0,1,0,
M,LF,5,43,2,1,LF152_,2506,8,0,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,8,3125,3132,7,3,0,0,1,
M,LF,5,43,2,1,LF152_,2513,8,3,2,0,1,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,8,3132,3135,3,5,0,0,0,
M,LF,5,43,2,1,LF152_,2520,3,5,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,8,3135,3140,5,4,0,0,0,
M,LF,5,43,2,1,LF152_,2523,5,4,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,8,3140,3187,47,8,0,0,1,
